deviceId,flowRuleCount,id,state,bytes,packets,duration,priority,tableId,appId,payload,selector,treatment
bmv2:127.0.0.1:9090#11,19,10000afada0a5,PENDING_ADD,0,0,29,40000,0,org.onosproject.core,null,"ETH_TYPE:arp","DefaultTrafficTreatment{immediate=[OUTPUT:CONTROLLER], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,10000b99ef629,PENDING_ADD,106008,1262,979,40000,0,org.onosproject.core,null,"ETH_TYPE:bddp","DefaultTrafficTreatment{immediate=[OUTPUT:CONTROLLER], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,10000ef9a5461,PENDING_ADD,106008,1262,979,40000,0,org.onosproject.core,null,"ETH_TYPE:lldp","DefaultTrafficTreatment{immediate=[OUTPUT:CONTROLLER], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,3a000023e4582e,PENDING_ADD,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:[s11-eth5","DefaultTrafficTreatment{immediate=[EXTENSION:bmv2:127.0.0.1:9090#11/Bmv2ExtensionTreatment{ecmp_group(groupId=00:01, groupSize=00:04)}], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,3a00006c26add2,PENDING_ADD,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:[s11-eth5","DefaultTrafficTreatment{immediate=[EXTENSION:bmv2:127.0.0.1:9090#11/Bmv2ExtensionTreatment{ecmp_group(groupId=00:01, groupSize=00:04)}], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,3a000087f88483,PENDING_ADD,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:2, ETH_DST:00:00:00:00:00:01, ETH_TYPE:ipv4","DefaultTrafficTreatment{immediate=[OUTPUT:[s11-eth5](5)], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,3a0000dc086689,PENDING_ADD,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:3, ETH_DST:00:00:00:00:00:01, ETH_TYPE:ipv4","DefaultTrafficTreatment{immediate=[OUTPUT:[s11-eth5](5)], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,3a0000dc4090ad,PENDING_ADD,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:1, ETH_DST:00:00:00:00:00:01, ETH_TYPE:ipv4","DefaultTrafficTreatment{immediate=[OUTPUT:[s11-eth5](5)], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,3a0000f9570456,PENDING_ADD,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:4, ETH_DST:00:00:00:00:00:01, ETH_TYPE:ipv4","DefaultTrafficTreatment{immediate=[OUTPUT:[s11-eth5](5)], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,3300000f2ff849,PENDING_ADD,378966,3867,969,10,0,org.onosproject.fwd,null,"IN_PORT:5, ETH_DST:00:00:00:00:00:02, ETH_SRC:00:00:00:00:00:01","DefaultTrafficTreatment{immediate=[OUTPUT:1], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,33000094a0d85c,PENDING_ADD,378966,3867,969,10,0,org.onosproject.fwd,null,"IN_PORT:5, ETH_DST:00:00:00:00:00:03, ETH_SRC:00:00:00:00:00:01","DefaultTrafficTreatment{immediate=[OUTPUT:3], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,330000c845b6ae,PENDING_ADD,378966,3867,969,10,0,org.onosproject.fwd,null,"IN_PORT:2, ETH_DST:00:00:00:00:00:01, ETH_SRC:00:00:00:00:00:02","DefaultTrafficTreatment{immediate=[OUTPUT:5], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,330000ea105245,PENDING_ADD,378966,3867,969,10,0,org.onosproject.fwd,null,"IN_PORT:2, ETH_DST:00:00:00:00:00:01, ETH_SRC:00:00:00:00:00:03","DefaultTrafficTreatment{immediate=[OUTPUT:5], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,100009b8c2d58,PENDING_ADD,253428,2586,979,5,0,org.onosproject.core,null,"ETH_TYPE:ipv4","DefaultTrafficTreatment{immediate=[OUTPUT:CONTROLLER], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,10000bf509236,PENDING_ADD,0,0,29,5,0,org.onosproject.core,null,"ETH_TYPE:arp","DefaultTrafficTreatment{immediate=[OUTPUT:CONTROLLER], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,3a000001f8a201,PENDING_ADD,0,0,0,100,1,org.onosproject.bmv2-ecmp-fabric,null,"EXTENSION:bmv2:127.0.0.1:9090#11/Bmv2ExtensionSelector{ecmp_metadata.groupId=00:01, ecmp_metadata.selector=00:03}","DefaultTrafficTreatment{immediate=[OUTPUT:4], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,3a0000aedc9b84,PENDING_ADD,0,0,0,100,1,org.onosproject.bmv2-ecmp-fabric,null,"EXTENSION:bmv2:127.0.0.1:9090#11/Bmv2ExtensionSelector{ecmp_metadata.groupId=00:01, ecmp_metadata.selector=00:00}","DefaultTrafficTreatment{immediate=[OUTPUT:1], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,3a0000b08930b5,PENDING_ADD,0,0,0,100,1,org.onosproject.bmv2-ecmp-fabric,null,"EXTENSION:bmv2:127.0.0.1:9090#11/Bmv2ExtensionSelector{ecmp_metadata.groupId=00:01, ecmp_metadata.selector=00:02}","DefaultTrafficTreatment{immediate=[OUTPUT:3], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9090#11,19,3a0000ffd4cbf4,PENDING_ADD,0,0,0,100,1,org.onosproject.bmv2-ecmp-fabric,null,"EXTENSION:bmv2:127.0.0.1:9090#11/Bmv2ExtensionSelector{ecmp_metadata.groupId=00:01, ecmp_metadata.selector=00:01}","DefaultTrafficTreatment{immediate=[OUTPUT:2], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,100006d5ad96c,PENDING_ADD,0,0,29,40000,0,org.onosproject.core,null,"ETH_TYPE:arp","DefaultTrafficTreatment{immediate=[OUTPUT:CONTROLLER], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,10000b5dcd58a,PENDING_ADD,106176,1264,979,40000,0,org.onosproject.core,null,"ETH_TYPE:lldp","DefaultTrafficTreatment{immediate=[OUTPUT:CONTROLLER], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,10000d211cd0c,PENDING_ADD,106176,1264,979,40000,0,org.onosproject.core,null,"ETH_TYPE:bddp","DefaultTrafficTreatment{immediate=[OUTPUT:CONTROLLER], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,3a0000010a5760,PENDING_ADD,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:[s12-eth5","DefaultTrafficTreatment{immediate=[EXTENSION:bmv2:127.0.0.1:9091#12/Bmv2ExtensionTreatment{ecmp_group(groupId=00:01, groupSize=00:04)}], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,3a00000eb12079,PENDING_ADD,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:2, ETH_DST:00:00:00:00:00:02, ETH_TYPE:ipv4","DefaultTrafficTreatment{immediate=[OUTPUT:[s12-eth5](5)], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,3a0000558f66f3,PENDING_ADD,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:[s12-eth5","DefaultTrafficTreatment{immediate=[EXTENSION:bmv2:127.0.0.1:9091#12/Bmv2ExtensionTreatment{ecmp_group(groupId=00:01, groupSize=00:04)}], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,3a0000a0d6fd32,PENDING_ADD,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:1, ETH_DST:00:00:00:00:00:02, ETH_TYPE:ipv4","DefaultTrafficTreatment{immediate=[OUTPUT:[s12-eth5](5)], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,3a0000bdcf4de5,PENDING_ADD,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:3, ETH_DST:00:00:00:00:00:02, ETH_TYPE:ipv4","DefaultTrafficTreatment{immediate=[OUTPUT:[s12-eth5](5)], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,3a0000decfc3e5,PENDING_ADD,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:4, ETH_DST:00:00:00:00:00:02, ETH_TYPE:ipv4","DefaultTrafficTreatment{immediate=[OUTPUT:[s12-eth5](5)], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,33000006bb0087,PENDING_ADD,379162,3869,970,10,0,org.onosproject.fwd,null,"IN_PORT:1, ETH_DST:00:00:00:00:00:02, ETH_SRC:00:00:00:00:00:03","DefaultTrafficTreatment{immediate=[OUTPUT:5], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,33000045d276a0,PENDING_ADD,379162,3869,969,10,0,org.onosproject.fwd,null,"IN_PORT:5, ETH_DST:00:00:00:00:00:01, ETH_SRC:00:00:00:00:00:02","DefaultTrafficTreatment{immediate=[OUTPUT:1], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,33000079fddc62,PENDING_ADD,379260,3870,970,10,0,org.onosproject.fwd,null,"IN_PORT:1, ETH_DST:00:00:00:00:00:02, ETH_SRC:00:00:00:00:00:01","DefaultTrafficTreatment{immediate=[OUTPUT:5], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,330000f48b14c2,PENDING_ADD,379064,3868,969,10,0,org.onosproject.fwd,null,"IN_PORT:5, ETH_DST:00:00:00:00:00:03, ETH_SRC:00:00:00:00:00:02","DefaultTrafficTreatment{immediate=[OUTPUT:1], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,1000073bbf7ef,PENDING_ADD,207760,2120,979,5,0,org.onosproject.core,null,"ETH_TYPE:ipv4","DefaultTrafficTreatment{immediate=[OUTPUT:CONTROLLER], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,10000996c549e,PENDING_ADD,0,0,29,5,0,org.onosproject.core,null,"ETH_TYPE:arp","DefaultTrafficTreatment{immediate=[OUTPUT:CONTROLLER], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,3a0000365acd9a,PENDING_ADD,0,0,0,100,1,org.onosproject.bmv2-ecmp-fabric,null,"EXTENSION:bmv2:127.0.0.1:9091#12/Bmv2ExtensionSelector{ecmp_metadata.groupId=00:01, ecmp_metadata.selector=00:00}","DefaultTrafficTreatment{immediate=[OUTPUT:1], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,3a00004c1a1a15,PENDING_ADD,0,0,0,100,1,org.onosproject.bmv2-ecmp-fabric,null,"EXTENSION:bmv2:127.0.0.1:9091#12/Bmv2ExtensionSelector{ecmp_metadata.groupId=00:01, ecmp_metadata.selector=00:03}","DefaultTrafficTreatment{immediate=[OUTPUT:4], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,3a00007e4655da,PENDING_ADD,0,0,0,100,1,org.onosproject.bmv2-ecmp-fabric,null,"EXTENSION:bmv2:127.0.0.1:9091#12/Bmv2ExtensionSelector{ecmp_metadata.groupId=00:01, ecmp_metadata.selector=00:02}","DefaultTrafficTreatment{immediate=[OUTPUT:3], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9091#12,19,3a0000a3600552,PENDING_ADD,0,0,0,100,1,org.onosproject.bmv2-ecmp-fabric,null,"EXTENSION:bmv2:127.0.0.1:9091#12/Bmv2ExtensionSelector{ecmp_metadata.groupId=00:01, ecmp_metadata.selector=00:01}","DefaultTrafficTreatment{immediate=[OUTPUT:2], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9092#13,19,10000715cd502,PENDING_ADD,106008,1262,979,40000,0,org.onosproject.core,null,"ETH_TYPE:lldp","DefaultTrafficTreatment{immediate=[OUTPUT:CONTROLLER], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9092#13,19,10000df9bfc85,PENDING_ADD,0,0,29,40000,0,org.onosproject.core,null,"ETH_TYPE:arp","DefaultTrafficTreatment{immediate=[OUTPUT:CONTROLLER], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9092#13,19,10000fb3efb17,PENDING_ADD,106008,1262,979,40000,0,org.onosproject.core,null,"ETH_TYPE:bddp","DefaultTrafficTreatment{immediate=[OUTPUT:CONTROLLER], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9092#13,19,3a000007579efd,ADDED,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:[s13-eth5","DefaultTrafficTreatment{immediate=[EXTENSION:bmv2:127.0.0.1:9092#13/Bmv2ExtensionTreatment{ecmp_group(groupId=00:01, groupSize=00:04)}], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9092#13,19,3a000084b1e214,ADDED,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:2, ETH_DST:00:00:00:00:00:03, ETH_TYPE:ipv4","DefaultTrafficTreatment{immediate=[OUTPUT:[s13-eth5](5)], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9092#13,19,3a000092df143f,ADDED,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:1, ETH_DST:00:00:00:00:00:03, ETH_TYPE:ipv4","DefaultTrafficTreatment{immediate=[OUTPUT:[s13-eth5](5)], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9092#13,19,3a0000d75dc417,ADDED,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:3, ETH_DST:00:00:00:00:00:03, ETH_TYPE:ipv4","DefaultTrafficTreatment{immediate=[OUTPUT:[s13-eth5](5)], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9092#13,19,3a0000d87a3756,ADDED,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:[s13-eth5","DefaultTrafficTreatment{immediate=[EXTENSION:bmv2:127.0.0.1:9092#13/Bmv2ExtensionTreatment{ecmp_group(groupId=00:01, groupSize=00:04)}], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9092#13,19,3a0000edee9739,ADDED,0,0,0,100,0,org.onosproject.bmv2-ecmp-fabric,null,"IN_PORT:4, ETH_DST:00:00:00:00:00:03, ETH_TYPE:ipv4","DefaultTrafficTreatment{immediate=[OUTPUT:[s13-eth5](5)], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9092#13,19,33000001dc9e4c,PENDING_ADD,379162,3869,970,10,0,org.onosproject.fwd,null,"IN_PORT:1, ETH_DST:00:00:00:00:00:03, ETH_SRC:00:00:00:00:00:02","DefaultTrafficTreatment{immediate=[OUTPUT:5], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
bmv2:127.0.0.1:9092#13,19,3300004abd0ccb,PENDING_ADD,379260,3870,970,10,0,org.onosproject.fwd,null,"IN_PORT:5, ETH_DST:00:00:00:00:00:01, ETH_SRC:00:00:00:00:00:03","DefaultTrafficTreatment{immediate=[OUTPUT:1], deferred=[], transition=None, meter=None, cleared=false, metadata=null}"
